Epoch,training_loss,validation_loss
0,3.236749620735645,0.8169795274734497
1,0.732052843272686,0.862813780705134
2,0.5657602647319436,0.9214587807655334
3,0.5626548094674945,1.0243747035662334
4,0.5458658074960112,0.9873608350753784
5,0.559347998443991,0.8831204076608022
6,0.5382119267713279,0.8358060121536255
7,0.4850689987011719,0.8984891871611277
8,0.45526041015982627,1.0081943571567535
9,0.5014206570805981,0.9990198910236359
10,0.44708896465599535,0.8690174122651418
11,0.4411878287792206,0.8912866115570068
12,0.4500561707653105,0.8848292231559753
13,0.45145124327391384,0.870315154393514
14,0.43904174703639,0.8806703190008799
15,0.4366882367350627,0.9115469853083292
16,0.436633780435659,0.9445561170578003
17,0.43578320341184734,0.9694477071364721
18,0.44236178491264583,0.9066123962402344
19,0.43660426397109403,0.9054757157961527
20,0.44139932697580664,0.9371384382247925
21,0.43621632931753995,0.9788638949394226
22,0.4429969539865851,0.8500528434912363
23,0.4369785443879664,0.7950139244397482
24,0.4354196692118421,0.8004355629285177
25,0.435362717974931,0.8137201468149821
26,0.4367371271306183,0.8348172108332316
27,0.435774497478269,0.8619017203648885
28,0.4345396765624173,0.8793437282244364
29,0.4342239547986537,0.8913234968980154
30,0.43579302305006423,0.907826840877533
31,0.43390489426383283,0.9279558559258779
32,0.4377813348546624,0.9674762686093649
33,0.43370488489163106,0.9943056305249532
34,0.44328030755277725,0.9359794855117798
35,0.43453803691081705,0.8808034360408783
36,0.4344832045811927,0.8761502901713053
37,0.4341987372026779,0.8785007297992706
38,0.43639703005901537,0.8254199226697286
39,0.43506616133381615,0.8091245194276174
40,0.4352071426001203,0.8178824385007223
41,0.4349345752852969,0.8312912583351135
42,0.4345178785850294,0.8429660002390543
43,0.43396989910397676,0.8521612485249838
44,0.43378651646198707,0.8574503362178802
45,0.4348513233067933,0.8656620979309082
46,0.43429125503171234,0.875235120455424
47,0.43413412757217884,0.885894258817037
48,0.4341179418908723,0.8949066499869028
49,0.43974728720786516,0.8348952829837799
50,0.4338604568038136,0.8150646090507507
51,0.434493631136138,0.8158575197060903
52,0.43440625952498524,0.8271611829598745
53,0.4342653760919347,0.8387864232063293
54,0.4338029147766065,0.846705953280131
55,0.43432456895243376,0.8546056946118673
56,0.4338525545259472,0.8621316353480021
57,0.4338068558921805,0.8688999513785044
58,0.4341124437865801,0.8765264948209127
59,0.4340462923806626,0.8858349323272705
60,0.4337932618938794,0.8956714371840159
61,0.43426087987900247,0.9052786628405253
62,0.43393356884771495,0.917932411034902
63,0.43350582556449807,0.9249039391676585
64,0.43374073952290926,0.9310148358345032
65,0.43759913545945894,0.7879317005475363
66,0.4366490348533262,0.7569027543067932
67,0.4351996255165432,0.7295840680599213
68,0.4361991162062623,0.7300389309724172
69,0.4354747406934621,0.7363132039705912
70,0.4346834339085035,0.7464834451675415
71,0.43383034099824724,0.7532828450202942
72,0.4338065648029442,0.7578803698221842
73,0.43404696058132686,0.7614244222640991
74,0.4336941328336252,0.7669631540775299
75,0.43372215193812735,0.7705884973208109
76,0.43377774562104604,0.774025579293569
77,0.43364605565002423,0.7778091629346212
78,0.43370150979026223,0.7810050845146179
79,0.4344974073348567,0.7492416898409525
80,0.43389992011943834,0.7450639208157858
81,0.43455449850298467,0.7445513010025024
82,0.4342973435355816,0.7448218464851379
83,0.435092752345372,0.7462424039840698
84,0.4338750082912156,0.7488938271999359
85,0.43398730825283566,0.7532313267389933
86,0.43390272138931324,0.7576567828655243
87,0.4338230734021636,0.7615952094395956
88,0.43378607284103055,0.7652951876322428
89,0.43369145308388396,0.7688506742318472
90,0.43341217635024804,0.7715700070063273
91,0.4335228575480869,0.7738871375719706
92,0.4335603745043045,0.7762174506982168
93,0.4336761699843919,0.7793558935324351
94,0.43337626510183325,0.7819072008132935
95,0.43366467545638443,0.7847038507461548
96,0.43373383674770594,0.7879623373349508
97,0.4335541319393087,0.7911759118239085
98,0.43364847917182486,0.7948666016260783
99,0.4337275669677183,0.7984140714009603
